text,label
Limited offer click now,1
Can you send the report,0
Your package is waiting claim now,1
Hello how are you today,0
Win big rewards now click,1
Please call me when free,0
Project update sent by email,0
Get free money now,1
Lunch at 2 pm today,0
Can you send the report,0
Free lottery ticket available,1
Your package is waiting claim now,1
Please call me when free,0
Please review the document,0
Project update sent by email,0
Need help with assignment,0
Win cash prize instantly,1
Please call me when free,0
Limited offer click now,1
Need help with assignment,0
Claim your lucky prize,1
Need help with assignment,0
Family dinner tonight,0
Win big rewards now click,1
Let's meet tomorrow morning,0
Lunch at 2 pm today,0
Exclusive deal just for you,1
Claim your free reward now,1
Hello how are you today,0
Limited offer click now,1
Urgent respond to win reward,1
Family dinner tonight,0
Please call me when free,0
Win big rewards now click,1
Claim your lucky prize,1
Claim your free reward now,1
Your package is waiting claim now,1
Hello how are you today,0
Win big rewards now click,1
Please call me when free,0
Exclusive deal just for you,1
Win big rewards now click,1
Limited offer click now,1
Free lottery ticket available,1
Hello how are you today,0
Your package is waiting claim now,1
Please review the document,0
Free lottery ticket available,1
See you at the office,0
Are you coming today,0
Exclusive deal just for you,1
Project update sent by email,0
Win cash prize instantly,1
Urgent respond to win reward,1
Exclusive deal just for you,1
Claim your free reward now,1
Limited offer click now,1
Are you coming today,0
Please review the document,0
Hello how are you today,0
Let's meet tomorrow morning,0
Need help with assignment,0
Please review the document,0
Need help with assignment,0
Get free money now,1
Project update sent by email,0
Can you send the report,0
Get free money now,1
Project update sent by email,0
See you at the office,0
Please call me when free,0
Need help with assignment,0
Meeting rescheduled to Monday,0
Win big rewards now click,1
Congratulations! You won a free Watch,1
Hello how are you today,0
Hello how are you today,0
Hello how are you today,0
Hello how are you today,0
Exclusive deal just for you,1
Free lottery ticket available,1
Meeting rescheduled to Monday,0
See you at the office,0
Let's meet tomorrow morning,0
Claim your lucky prize,1
Your package is waiting claim now,1
Urgent respond to win reward,1
See you at the office,0
Hello how are you today,0
Please call me when free,0
Congratulations! You won a free TV,1
Limited offer click now,1
Claim your lucky prize,1
Free lottery ticket available,1
Your package is waiting claim now,1
Family dinner tonight,0
Can you send the report,0
Your package is waiting claim now,1
Win big rewards now click,1
See you at the office,0
See you at the office,0
Congratulations! You won a free Trip,1
See you at the office,0
Exclusive deal just for you,1
Exclusive deal just for you,1
Need help with assignment,0
Project update sent by email,0
Urgent respond to win reward,1
Urgent respond to win reward,1
Urgent respond to win reward,1
Urgent respond to win reward,1
Can you send the report,0
Can you send the report,0
Get free money now,1
Your package is waiting claim now,1
Limited offer click now,1
Family dinner tonight,0
Lunch at 2 pm today,0
Meeting rescheduled to Monday,0
Urgent respond to win reward,1
Limited offer click now,1
Lunch at 2 pm today,0
Claim your lucky prize,1
Hello how are you today,0
Need help with assignment,0
Lunch at 2 pm today,0
Get free money now,1
Are you coming today,0
Can you send the report,0
Claim your free reward now,1
Please call me when free,0
Please call me when free,0
Lunch at 2 pm today,0
Urgent respond to win reward,1
Claim your lucky prize,1
Can you send the report,0
Win cash prize instantly,1
Hello how are you today,0
Congratulations! You won a free Trip,1
Win big rewards now click,1
Claim your lucky prize,1
Exclusive deal just for you,1
Win big rewards now click,1
Exclusive deal just for you,1
Exclusive deal just for you,1
Are you coming today,0
Please review the document,0
Claim your lucky prize,1
Family dinner tonight,0
Meeting rescheduled to Monday,0
Get free money now,1
Are you coming today,0
Family dinner tonight,0
Congratulations! You won a free Trip,1
Let's meet tomorrow morning,0
Win big rewards now click,1
Exclusive deal just for you,1
Urgent respond to win reward,1
Are you coming today,0
Need help with assignment,0
Hello how are you today,0
Claim your lucky prize,1
Get free money now,1
Win big rewards now click,1
Urgent respond to win reward,1
Congratulations! You won a free Voucher,1
Get free money now,1
Claim your free reward now,1
Win big rewards now click,1
Lunch at 2 pm today,0
Are you coming today,0
Win big rewards now click,1
See you at the office,0
Lunch at 2 pm today,0
Let's meet tomorrow morning,0
Meeting rescheduled to Monday,0
Congratulations! You won a free iPhone,1
Your package is waiting claim now,1
Family dinner tonight,0
Need help with assignment,0
Please call me when free,0
Win cash prize instantly,1
Lunch at 2 pm today,0
Project update sent by email,0
Need help with assignment,0
Exclusive deal just for you,1
Project update sent by email,0
Win big rewards now click,1
Limited offer click now,1
Lunch at 2 pm today,0
Claim your lucky prize,1
Meeting rescheduled to Monday,0
Congratulations! You won a free Voucher,1
Project update sent by email,0
Please call me when free,0
Urgent respond to win reward,1
Family dinner tonight,0
Free lottery ticket available,1
Lunch at 2 pm today,0
Claim your lucky prize,1
Please call me when free,0
Let's meet tomorrow morning,0
Congratulations! You won a free Voucher,1
Urgent respond to win reward,1
Family dinner tonight,0
Family dinner tonight,0
Your package is waiting claim now,1
Congratulations! You won a free Watch,1
Lunch at 2 pm today,0
Exclusive deal just for you,1
Limited offer click now,1
Win cash prize instantly,1
Let's meet tomorrow morning,0
Are you coming today,0
See you at the office,0
Claim your free reward now,1
Let's meet tomorrow morning,0
Can you send the report,0
Need help with assignment,0
Lunch at 2 pm today,0
Your package is waiting claim now,1
Free lottery ticket available,1
Your package is waiting claim now,1
Project update sent by email,0
Meeting rescheduled to Monday,0
Meeting rescheduled to Monday,0
Lunch at 2 pm today,0
Claim your lucky prize,1
Your package is waiting claim now,1
Can you send the report,0
Get free money now,1
Lunch at 2 pm today,0
Can you send the report,0
Get free money now,1
Urgent respond to win reward,1
Meeting rescheduled to Monday,0
Exclusive deal just for you,1
Free lottery ticket available,1
Project update sent by email,0
Are you coming today,0
Limited offer click now,1
Urgent respond to win reward,1
Need help with assignment,0
Limited offer click now,1
Free lottery ticket available,1
Claim your free reward now,1
Meeting rescheduled to Monday,0
Please call me when free,0
Your package is waiting claim now,1
Limited offer click now,1
Your package is waiting claim now,1
Lunch at 2 pm today,0
Win cash prize instantly,1
Project update sent by email,0
Project update sent by email,0
Are you coming today,0
Limited offer click now,1
Are you coming today,0
Project update sent by email,0
Get free money now,1
Get free money now,1
Claim your free reward now,1
Claim your free reward now,1
Family dinner tonight,0
Limited offer click now,1
Hello how are you today,0
Hello how are you today,0
Please review the document,0
Urgent respond to win reward,1
Limited offer click now,1
Need help with assignment,0
Congratulations! You won a free iPhone,1
Please review the document,0
Claim your free reward now,1
Project update sent by email,0
Your package is waiting claim now,1
Hello how are you today,0
Exclusive deal just for you,1
Family dinner tonight,0
Get free money now,1
Win cash prize instantly,1
Meeting rescheduled to Monday,0
Get free money now,1
Can you send the report,0
Free lottery ticket available,1
Claim your lucky prize,1
Meeting rescheduled to Monday,0
Urgent respond to win reward,1
Project update sent by email,0
Win cash prize instantly,1
Project update sent by email,0
Hello how are you today,0
Limited offer click now,1
Urgent respond to win reward,1
Win big rewards now click,1
Meeting rescheduled to Monday,0
Hello how are you today,0
Claim your lucky prize,1
Claim your lucky prize,1
Win big rewards now click,1
Limited offer click now,1
Can you send the report,0
Limited offer click now,1
Limited offer click now,1
Your package is waiting claim now,1
Win cash prize instantly,1
Your package is waiting claim now,1
Hello how are you today,0
Claim your lucky prize,1
Please review the document,0
Win cash prize instantly,1
Urgent respond to win reward,1
Congratulations! You won a free Voucher,1
Please call me when free,0
Need help with assignment,0
Lunch at 2 pm today,0
Let's meet tomorrow morning,0
Hello how are you today,0
Please call me when free,0
Hello how are you today,0
Let's meet tomorrow morning,0
Congratulations! You won a free Trip,1
Get free money now,1
Your package is waiting claim now,1
Free lottery ticket available,1
Claim your free reward now,1
Let's meet tomorrow morning,0
Please review the document,0
Let's meet tomorrow morning,0
Claim your free reward now,1
Win big rewards now click,1
Can you send the report,0
Lunch at 2 pm today,0
See you at the office,0
Need help with assignment,0
Congratulations! You won a free Voucher,1
Limited offer click now,1
Need help with assignment,0
Win big rewards now click,1
Free lottery ticket available,1
Your package is waiting claim now,1
Claim your free reward now,1
Claim your free reward now,1
Project update sent by email,0
Please review the document,0
Need help with assignment,0
Free lottery ticket available,1
Please call me when free,0
Family dinner tonight,0
Free lottery ticket available,1
Win big rewards now click,1
Please review the document,0
Hello how are you today,0
Please call me when free,0
Let's meet tomorrow morning,0
Need help with assignment,0
Project update sent by email,0
Hello how are you today,0
Please call me when free,0
Win cash prize instantly,1
Are you coming today,0
Congratulations! You won a free Watch,1
Meeting rescheduled to Monday,0
Exclusive deal just for you,1
Win big rewards now click,1
Need help with assignment,0
Hello how are you today,0
Urgent respond to win reward,1
Claim your lucky prize,1
Family dinner tonight,0
See you at the office,0
Let's meet tomorrow morning,0
Please review the document,0
Claim your free reward now,1
Can you send the report,0
Urgent respond to win reward,1
Let's meet tomorrow morning,0
Meeting rescheduled to Monday,0
Meeting rescheduled to Monday,0
Free lottery ticket available,1
Get free money now,1
Win cash prize instantly,1
Limited offer click now,1
Limited offer click now,1
Project update sent by email,0
Lunch at 2 pm today,0
Limited offer click now,1
Exclusive deal just for you,1
Hello how are you today,0
Limited offer click now,1
Hello how are you today,0
Please call me when free,0
Lunch at 2 pm today,0
Your package is waiting claim now,1
Exclusive deal just for you,1
Get free money now,1
Win big rewards now click,1
Let's meet tomorrow morning,0
Win big rewards now click,1
Please review the document,0
Win cash prize instantly,1
Win cash prize instantly,1
Exclusive deal just for you,1
Free lottery ticket available,1
Your package is waiting claim now,1
Claim your free reward now,1
Need help with assignment,0
Project update sent by email,0
Get free money now,1
Can you send the report,0
Meeting rescheduled to Monday,0
Let's meet tomorrow morning,0
Project update sent by email,0
Limited offer click now,1
Meeting rescheduled to Monday,0
Family dinner tonight,0
Please review the document,0
Claim your free reward now,1
Can you send the report,0
Your package is waiting claim now,1
See you at the office,0
Get free money now,1
Win big rewards now click,1
Claim your free reward now,1
Need help with assignment,0
Let's meet tomorrow morning,0
Can you send the report,0
Claim your lucky prize,1
Claim your free reward now,1
See you at the office,0
Get free money now,1
Your package is waiting claim now,1
Can you send the report,0
Need help with assignment,0
Can you send the report,0
Your package is waiting claim now,1
Urgent respond to win reward,1
Please call me when free,0
Exclusive deal just for you,1
Claim your free reward now,1
Are you coming today,0
Your package is waiting claim now,1
Hello how are you today,0
Your package is waiting claim now,1
Are you coming today,0
Get free money now,1
Congratulations! You won a free iPhone,1
Can you send the report,0
Congratulations! You won a free Watch,1
Win cash prize instantly,1
Limited offer click now,1
See you at the office,0
Your package is waiting claim now,1
Meeting rescheduled to Monday,0
Please review the document,0
Are you coming today,0
Free lottery ticket available,1
Claim your lucky prize,1
Win big rewards now click,1
Please review the document,0
Claim your lucky prize,1
Urgent respond to win reward,1
Let's meet tomorrow morning,0
Please call me when free,0
Claim your lucky prize,1
Project update sent by email,0
Get free money now,1
Claim your lucky prize,1
See you at the office,0
Win cash prize instantly,1
Lunch at 2 pm today,0
Urgent respond to win reward,1
Project update sent by email,0
Meeting rescheduled to Monday,0
Get free money now,1
Hello how are you today,0
Exclusive deal just for you,1
Win cash prize instantly,1
Are you coming today,0
Your package is waiting claim now,1
Lunch at 2 pm today,0
Your package is waiting claim now,1
Need help with assignment,0
Lunch at 2 pm today,0
Limited offer click now,1
Exclusive deal just for you,1
Free lottery ticket available,1
Win cash prize instantly,1
Let's meet tomorrow morning,0
Claim your lucky prize,1
Win big rewards now click,1
See you at the office,0
Claim your lucky prize,1
Project update sent by email,0
Hello how are you today,0
Let's meet tomorrow morning,0
Lunch at 2 pm today,0
Can you send the report,0
Claim your lucky prize,1
Can you send the report,0
